timestamp,load_mw,temperature_c,latitude,longitude
2025-06-01 00:00,49860.5,23.0,30.27,-97.74
2025-06-01 01:00,49366.0,21.15,30.27,-97.74
2025-06-01 02:00,48918.9,19.15,30.27,-97.74
2025-06-01 03:00,48550.4,17.15,30.27,-97.74
2025-06-01 04:00,48286.3,15.3,30.27,-97.74
2025-06-01 05:00,48145.4,13.71,30.27,-97.74
2025-06-01 06:00,48138.0,12.52,30.27,-97.74
2025-06-01 07:00,48265.3,11.79,30.27,-97.74
2025-06-01 08:00,48519.5,11.59,30.27,-97.74
2025-06-01 09:00,48883.8,11.93,30.27,-97.74
2025-06-01 10:00,49334.1,12.8,30.27,-97.74
2025-06-01 11:00,49840.4,14.14,30.27,-97.74
2025-06-01 12:00,50368.8,15.87,30.27,-97.74
2025-06-01 13:00,50883.9,17.86,30.27,-97.74
2025-06-01 14:00,51351.3,20.0,30.27,-97.74
2025-06-01 15:00,51739.6,22.13,30.27,-97.74
2025-06-01 16:00,52044.2,24.13,30.27,-97.74
2025-06-01 17:00,52492.4,25.84,30.27,-97.74
2025-06-01 18:00,52741.4,27.18,30.27,-97.74
2025-06-01 19:00,52775.4,28.03,30.27,-97.74
2025-06-01 20:00,52593.1,28.36,30.27,-97.74
2025-06-01 21:00,52207.9,28.14,30.27,-97.74
2025-06-01 22:00,51647.1,27.39,30.27,-97.74
2025-06-01 23:00,50949.9,26.17,30.27,-97.74
2025-06-02 00:00,50614.5,24.56,30.27,-97.74
2025-06-02 01:00,50017.0,22.68,30.27,-97.74
2025-06-02 02:00,49561.1,20.65,30.27,-97.74
2025-06-02 03:00,49183.3,18.62,30.27,-97.74
2025-06-02 04:00,48909.3,16.73,30.27,-97.74
2025-06-02 05:00,48758.1,15.11,30.27,-97.74
2025-06-02 06:00,48740.0,13.87,30.27,-97.74
2025-06-02 07:00,48856.2,13.11,30.27,-97.74
2025-06-02 08:00,49098.8,12.86,30.27,-97.74
2025-06-02 09:00,49451.2,13.16,30.27,-97.74
2025-06-02 10:00,49889.3,13.98,30.27,-97.74
2025-06-02 11:00,50383.0,15.27,30.27,-97.74
2025-06-02 12:00,50898.7,16.95,30.27,-97.74
2025-06-02 13:00,51400.9,18.89,30.27,-97.74
2025-06-02 14:00,51855.1,20.98,30.27,-97.74
2025-06-02 15:00,52230.1,23.06,30.27,-97.74
2025-06-02 16:00,52667.0,24.99,30.27,-97.74
2025-06-02 17:00,53092.2,26.66,30.27,-97.74
2025-06-02 18:00,53317.9,27.93,30.27,-97.74
2025-06-02 19:00,53328.4,28.73,30.27,-97.74
2025-06-02 20:00,53122.6,28.99,30.27,-97.74
2025-06-02 21:00,52713.8,28.71,30.27,-97.74
2025-06-02 22:00,52129.3,27.91,30.27,-97.74
2025-06-02 23:00,51408.4,26.62,30.27,-97.74
2025-06-03 00:00,50599.4,24.95,30.27,-97.74
2025-06-03 01:00,49924.4,23.0,30.27,-97.74
2025-06-03 02:00,49455.9,20.91,30.27,-97.74
2025-06-03 03:00,49065.8,18.82,30.27,-97.74
2025-06-03 04:00,48780.0,16.86,30.27,-97.74
2025-06-03 05:00,48617.3,15.18,30.27,-97.74
2025-06-03 06:00,48588.0,13.87,30.27,-97.74
2025-06-03 07:00,48693.4,13.04,30.27,-97.74
2025-06-03 08:00,48925.7,12.73,30.27,-97.74
2025-06-03 09:00,49268.3,12.97,30.27,-97.74
2025-06-03 10:00,49697.1,13.72,30.27,-97.74
2025-06-03 11:00,50182.1,14.95,30.27,-97.74
2025-06-03 12:00,50689.5,16.56,30.27,-97.74
2025-06-03 13:00,51184.0,18.45,30.27,-97.74
2025-06-03 14:00,51631.1,20.47,30.27,-97.74
2025-06-03 15:00,51999.6,22.48,30.27,-97.74
2025-06-03 16:00,52324.3,24.36,30.27,-97.74
2025-06-03 17:00,52734.1,25.96,30.27,-97.74
2025-06-03 18:00,52945.4,27.18,30.27,-97.74
2025-06-03 19:00,52942.4,27.92,30.27,-97.74
2025-06-03 20:00,52723.8,28.13,30.27,-97.74
2025-06-03 21:00,52303.2,27.79,30.27,-97.74
2025-06-03 22:00,51707.9,26.93,30.27,-97.74
2025-06-03 23:00,50977.0,25.59,30.27,-97.74
2025-06-04 00:00,50181.2,23.87,30.27,-97.74
2025-06-04 01:00,49666.1,21.87,30.27,-97.74
2025-06-04 02:00,49198.7,19.73,30.27,-97.74
2025-06-04 03:00,48810.4,17.59,30.27,-97.74
2025-06-04 04:00,48527.0,15.59,30.27,-97.74
2025-06-04 05:00,48367.5,13.86,30.27,-97.74
2025-06-04 06:00,48342.0,12.52,30.27,-97.74
2025-06-04 07:00,48452.0,11.64,30.27,-97.74
2025-06-04 08:00,48689.5,11.3,30.27,-97.74
2025-06-04 09:00,49037.9,11.5,30.27,-97.74
2025-06-04 10:00,49473.1,12.22,30.27,-97.74
2025-06-04 11:00,49965.2,13.42,30.27,-97.74
2025-06-04 12:00,50480.2,15.0,30.27,-97.74
2025-06-04 13:00,50983.0,16.85,30.27,-97.74
2025-06-04 14:00,51438.9,18.85,30.27,-97.74
