timestamp,solar_mw,wind_mw,renewable_mw,temperature_c,ghi_wm2,wind_speed_mps,latitude,longitude,altitude_m
2025-06-01 00:00,0.0,489.4,489.4,22.5,0,6.86,35.37,-119.02,120
2025-06-01 01:00,0.0,617.1,617.1,20.33,0,7.17,35.37,-119.02,120
2025-06-01 02:00,0.0,720.8,720.8,18.0,0,7.39,35.37,-119.02,120
2025-06-01 03:00,0.0,782.6,782.6,15.67,0,7.51,35.37,-119.02,120
2025-06-01 04:00,0.0,792.5,792.5,13.5,0,7.53,35.37,-119.02,120
2025-06-01 05:00,0.0,750.8,750.8,11.64,0,7.45,35.37,-119.02,120
2025-06-01 06:00,0.0,667.6,667.6,10.21,0,7.28,35.37,-119.02,120
2025-06-01 07:00,1912.4,559.4,2471.8,9.31,111.1,7.04,35.37,-119.02,120
2025-06-01 08:00,4887.2,444.3,5331.5,9.0,284.9,6.74,35.37,-119.02,120
2025-06-01 09:00,8105.1,337.6,8442.7,9.31,474.2,6.41,35.37,-119.02,120
2025-06-01 10:00,11052.2,248.8,11301.0,10.21,648.8,6.08,35.37,-119.02,120
2025-06-01 11:00,13318.1,181.8,13499.9,11.64,783.8,5.78,35.37,-119.02,120
2025-06-01 12:00,14601.6,135.6,14737.3,13.5,860.5,5.52,35.37,-119.02,120
2025-06-01 13:00,14729.4,107.3,14836.7,15.67,868.0,5.33,35.37,-119.02,120
2025-06-01 14:00,13670.7,93.5,13764.3,18.0,804.5,5.22,35.37,-119.02,120
2025-06-01 15:00,11543.7,92.4,11636.1,20.33,677.7,5.21,35.37,-119.02,120
2025-06-01 16:00,8613.5,104.0,8717.5,22.5,504.0,5.3,35.37,-119.02,120
2025-06-01 17:00,5283.9,130.9,5414.9,24.36,308.0,5.49,35.37,-119.02,120
2025-06-01 18:00,2103.4,178.0,2281.3,25.79,122.2,5.76,35.37,-119.02,120
2025-06-01 19:00,0.0,251.3,251.3,26.69,0,6.09,35.37,-119.02,120
2025-06-01 20:00,0.0,356.7,356.7,27.0,0,6.47,35.37,-119.02,120
2025-06-01 21:00,0.0,496.3,496.3,26.69,0,6.88,35.37,-119.02,120
2025-06-01 22:00,0.0,666.2,666.2,25.79,0,7.28,35.37,-119.02,120
2025-06-01 23:00,0.0,853.8,853.8,24.36,0,7.65,35.37,-119.02,120
2025-06-02 00:00,0.0,1038.2,1038.2,22.5,0,7.96,35.37,-119.02,120
2025-06-02 01:00,0.0,1193.6,1193.6,20.33,0,8.2,35.37,-119.02,120
2025-06-02 02:00,0.0,1294.7,1294.7,18.0,0,8.34,35.37,-119.02,120
2025-06-02 03:00,0.0,1323.5,1323.5,15.67,0,8.38,35.37,-119.02,120
2025-06-02 04:00,0.0,1274.4,1274.4,13.5,0,8.31,35.37,-119.02,120
2025-06-02 05:00,0.0,1155.4,1155.4,11.64,0,8.14,35.37,-119.02,120
2025-06-02 06:00,0.0,986.5,986.5,10.21,0,7.88,35.37,-119.02,120
2025-06-02 07:00,2085.9,794.0,2880.0,9.31,121.2,7.54,35.37,-119.02,120
2025-06-02 08:00,5239.2,603.9,5843.1,9.0,305.4,7.14,35.37,-119.02,120
2025-06-02 09:00,8543.2,435.9,8979.1,9.31,499.8,6.71,35.37,-119.02,120
2025-06-02 10:00,11459.0,301.3,11760.4,10.21,672.7,6.28,35.37,-119.02,120
2025-06-02 11:00,13589.5,202.5,13792.0,11.64,799.8,5.88,35.37,-119.02,120
2025-06-02 12:00,14671.6,135.6,14807.3,13.5,864.6,5.52,35.37,-119.02,120
2025-06-02 13:00,14583.6,93.8,14677.5,15.67,859.4,5.23,35.37,-119.02,120
2025-06-02 14:00,13347.2,70.2,13417.3,18.0,785.5,5.02,35.37,-119.02,120
2025-06-02 15:00,11122.5,59.4,11181.8,20.33,652.9,4.91,35.37,-119.02,120
2025-06-02 16:00,8197.0,58.4,8255.5,22.5,479.6,4.9,35.37,-119.02,120
2025-06-02 17:00,4971.0,66.8,5037.8,24.36,289.8,4.99,35.37,-119.02,120
2025-06-02 18:00,1958.0,85.7,2043.8,25.79,113.7,5.16,35.37,-119.02,120
2025-06-02 19:00,0.0,118.1,118.1,26.69,0,5.4,35.37,-119.02,120
2025-06-02 20:00,0.0,166.7,166.7,27.0,0,5.7,35.37,-119.02,120
2025-06-02 21:00,0.0,233.0,233.0,26.69,0,6.01,35.37,-119.02,120
2025-06-02 22:00,0.0,314.6,314.6,25.79,0,6.33,35.37,-119.02,120
2025-06-02 23:00,0.0,404.1,404.1,24.36,0,6.62,35.37,-119.02,120
2025-06-03 00:00,0.0,489.4,489.4,22.5,0,6.86,35.37,-119.02,120
2025-06-03 01:00,0.0,555.4,555.4,20.33,0,7.03,35.37,-119.02,120
