TurbID,Day,Tmstamp,Wspd,Wdir,Etmp,Itmp,Ndir,Pab1,Pab2,Pab3,Prtv,Patv
1,1,0,7.4,220,13.0,15.0,0,0,0,0,0,127.78
1,1,60,7.82,220,11.07,13.07,0,0,0,0,0,167.96
1,1,120,8.153,220,9.0,11.0,0,0,0,0,0,205.24
1,1,180,8.379,220,6.93,8.93,0,0,0,0,0,233.51
1,1,240,8.487,220,5.0,7.0,0,0,0,0,0,247.81
1,1,300,8.472,220,3.34,5.34,0,0,0,0,0,245.72
1,1,360,8.337,220,2.07,4.07,0,0,0,0,0,228.02
1,1,420,8.095,220,1.27,3.27,0,0,0,0,0,198.43
1,1,480,7.766,220,1.0,3.0,0,0,0,0,0,162.39
1,1,540,7.374,220,1.27,3.27,0,0,0,0,0,125.56
1,1,600,6.95,220,2.07,4.07,0,0,0,0,0,92.44
1,1,660,6.524,220,3.34,5.34,0,0,0,0,0,65.66
1,1,720,6.129,220,5.0,7.0,0,0,0,0,0,45.95
1,1,780,5.794,220,6.93,8.93,0,0,0,0,0,32.7
1,1,840,5.543,220,9.0,11.0,0,0,0,0,0,24.68
1,1,900,5.398,220,11.07,13.07,0,0,0,0,0,20.68
1,1,960,5.369,220,13.0,15.0,0,0,0,0,0,19.94
1,1,1020,5.461,220,14.66,16.66,0,0,0,0,0,22.35
1,1,1080,5.669,220,15.93,17.93,0,0,0,0,0,28.53
1,1,1140,5.982,220,16.73,18.73,0,0,0,0,0,39.78
1,1,1200,6.379,220,17.0,19.0,0,0,0,0,0,57.89
1,1,1260,6.836,220,16.73,18.73,0,0,0,0,0,84.67
1,1,1320,7.322,220,15.93,17.93,0,0,0,0,0,121.12
1,1,1380,7.806,220,14.66,16.66,0,0,0,0,0,166.52
1,2,0,8.256,220,13.0,15.0,0,0,0,0,0,217.79
1,2,60,8.642,220,11.07,13.07,0,0,0,0,0,269.41
1,2,120,8.939,220,9.0,11.0,0,0,0,0,0,314.25
1,2,180,9.128,220,6.93,8.93,0,0,0,0,0,345.11
1,2,240,9.195,220,5.0,7.0,0,0,0,0,0,356.64
1,2,300,9.137,220,3.34,5.34,0,0,0,0,0,346.78
1,2,360,8.959,220,2.07,4.07,0,0,0,0,0,317.38
1,2,420,8.672,220,1.27,3.27,0,0,0,0,0,273.65
1,2,480,8.295,220,1.0,3.0,0,0,0,0,0,222.69
1,2,540,7.855,220,1.27,3.27,0,0,0,0,0,171.63
1,2,600,7.38,220,2.07,4.07,0,0,0,0,0,126.07
1,2,660,6.903,220,3.34,5.34,0,0,0,0,0,89.22
1,2,720,6.456,220,5.0,7.0,0,0,0,0,0,61.91
1,2,780,6.067,220,6.93,8.93,0,0,0,0,0,43.29
1,2,840,5.763,220,9.0,11.0,0,0,0,0,0,31.65
1,2,900,5.563,220,11.07,13.07,0,0,0,0,0,25.26
1,2,960,5.479,220,13.0,15.0,0,0,0,0,0,22.86
1,2,1020,5.516,220,14.66,16.66,0,0,0,0,0,23.89
1,2,1080,5.669,220,15.93,17.93,0,0,0,0,0,28.53
1,2,1140,5.927,220,16.73,18.73,0,0,0,0,0,37.6
1,2,1200,6.269,220,17.0,19.0,0,0,0,0,0,52.39
1,2,1260,6.671,220,16.73,18.73,0,0,0,0,0,74.18
1,2,1320,7.102,220,15.93,17.93,0,0,0,0,0,103.55
1,2,1380,7.532,220,14.66,16.66,0,0,0,0,0,139.65
1,3,0,7.929,220,13.0,15.0,0,0,0,0,0,179.63
1,3,60,8.263,220,11.07,13.07,0,0,0,0,0,218.67
1,3,120,8.509,220,9.0,11.0,0,0,0,0,0,250.77
1,3,180,8.647,220,6.93,8.93,0,0,0,0,0,270.15
1,3,240,8.666,220,5.0,7.0,0,0,0,0,0,272.86
1,3,300,8.561,220,3.34,5.34,0,0,0,0,0,257.99
1,3,360,8.337,220,2.07,4.07,0,0,0,0,0,228.02
1,3,420,8.006,220,1.27,3.27,0,0,0,0,0,188.15
1,3,480,7.587,220,1.0,3.0,0,0,0,0,0,144.78
1,3,540,7.107,220,1.27,3.27,0,0,0,0,0,103.89
1,3,600,6.594,220,2.07,4.07,0,0,0,0,0,69.64
1,3,660,6.081,220,3.34,5.34,0,0,0,0,0,43.88
1,3,720,5.6,220,5.0,7.0,0,0,0,0,0,26.36
1,3,780,5.18,220,6.93,8.93,0,0,0,0,0,15.54
1,3,840,4.847,220,9.0,11.0,0,0,0,0,0,9.45
1,3,900,4.621,220,11.07,13.07,0,0,0,0,0,6.38
1,3,960,4.513,220,13.0,15.0,0,0,0,0,0,5.19
1,3,1020,4.528,220,14.66,16.66,0,0,0,0,0,5.36
1,3,1080,4.663,220,15.93,17.93,0,0,0,0,0,6.9
1,3,1140,4.905,220,16.73,18.73,0,0,0,0,0,10.36
1,3,1200,5.234,220,17.0,19.0,0,0,0,0,0,16.72
1,3,1260,5.626,220,16.73,18.73,0,0,0,0,0,27.15
1,3,1320,6.05,220,15.93,17.93,0,0,0,0,0,42.56
1,3,1380,6.476,220,14.66,16.66,0,0,0,0,0,62.98
1,4,0,6.871,220,13.0,15.0,0,0,0,0,0,87.01
1,4,60,7.206,220,11.07,13.07,0,0,0,0,0,111.64
1,4,120,7.457,220,9.0,11.0,0,0,0,0,0,132.77
1,4,180,7.602,220,6.93,8.93,0,0,0,0,0,146.22
1,4,240,7.631,220,5.0,7.0,0,0,0,0,0,148.99
1,4,300,7.539,220,3.34,5.34,0,0,0,0,0,140.29
1,4,360,7.331,220,2.07,4.07,0,0,0,0,0,121.84
1,4,420,7.018,220,1.27,3.27,0,0,0,0,0,97.3
1,4,480,6.621,220,1.0,3.0,0,0,0,0,0,71.19
1,4,540,6.164,220,1.27,3.27,0,0,0,0,0,47.51
1,4,600,5.678,220,2.07,4.07,0,0,0,0,0,28.8
1,4,660,5.194,220,3.34,5.34,0,0,0,0,0,15.84
1,4,720,4.744,220,5.0,7.0,0,0,0,0,0,7.96
1,4,780,4.358,220,6.93,8.93,0,0,0,0,0,3.76
1,4,840,4.061,220,9.0,11.0,0,0,0,0,0,1.79
1,4,900,3.872,220,11.07,13.07,0,0,0,0,0,1.0
1,4,960,3.805,220,13.0,15.0,0,0,0,0,0,0.78
1,4,1020,3.863,220,14.66,16.66,0,0,0,0,0,0.96
1,4,1080,4.041,220,15.93,17.93,0,0,0,0,0,1.69
1,4,1140,4.328,220,16.73,18.73,0,0,0,0,0,3.52
1,4,1200,4.705,220,17.0,19.0,0,0,0,0,0,7.43
1,4,1260,5.145,220,16.73,18.73,0,0,0,0,0,14.81
1,4,1320,5.62,220,15.93,17.93,0,0,0,0,0,26.97
1,4,1380,6.097,220,14.66,16.66,0,0,0,0,0,44.54
1,5,0,6.544,220,13.0,15.0,0,0,0,0,0,66.77
1,5,60,6.933,220,11.07,13.07,0,0,0,0,0,91.23
1,5,120,7.237,220,9.0,11.0,0,0,0,0,0,114.07
1,5,180,7.437,220,6.93,8.93,0,0,0,0,0,131.01
1,5,240,7.521,220,5.0,7.0,0,0,0,0,0,138.57
1,5,300,7.484,220,3.34,5.34,0,0,0,0,0,135.22
1,5,360,7.331,220,2.07,4.07,0,0,0,0,0,121.84
1,5,420,7.073,220,1.27,3.27,0,0,0,0,0,101.38
1,5,480,6.731,220,1.0,3.0,0,0,0,0,0,77.92
1,5,540,6.329,220,1.27,3.27,0,0,0,0,0,55.36
1,5,600,5.898,220,2.07,4.07,0,0,0,0,0,36.5
1,5,660,5.468,220,3.34,5.34,0,0,0,0,0,22.54
1,5,720,5.071,220,5.0,7.0,0,0,0,0,0,13.32
1,5,780,4.737,220,6.93,8.93,0,0,0,0,0,7.86
1,5,840,4.491,220,9.0,11.0,0,0,0,0,0,4.97
1,5,900,4.353,220,11.07,13.07,0,0,0,0,0,3.71
1,5,960,4.334,220,13.0,15.0,0,0,0,0,0,3.56
1,5,1020,4.439,220,14.66,16.66,0,0,0,0,0,4.47
1,5,1080,4.663,220,15.93,17.93,0,0,0,0,0,6.9
1,5,1140,4.994,220,16.73,18.73,0,0,0,0,0,11.9
1,5,1200,5.413,220,17.0,19.0,0,0,0,0,0,21.07
1,5,1260,5.893,220,16.73,18.73,0,0,0,0,0,36.33
1,5,1320,6.406,220,15.93,17.93,0,0,0,0,0,59.26
1,5,1380,6.919,220,14.66,16.66,0,0,0,0,0,90.27
1,6,0,7.4,220,13.0,15.0,0,0,0,0,0,127.78
1,6,60,7.82,220,11.07,13.07,0,0,0,0,0,167.96
1,6,120,8.153,220,9.0,11.0,0,0,0,0,0,205.24
1,6,180,8.379,220,6.93,8.93,0,0,0,0,0,233.51
1,6,240,8.487,220,5.0,7.0,0,0,0,0,0,247.81
1,6,300,8.472,220,3.34,5.34,0,0,0,0,0,245.72
1,6,360,8.337,220,2.07,4.07,0,0,0,0,0,228.02
1,6,420,8.095,220,1.27,3.27,0,0,0,0,0,198.43
1,6,480,7.766,220,1.0,3.0,0,0,0,0,0,162.39
1,6,540,7.374,220,1.27,3.27,0,0,0,0,0,125.56
1,6,600,6.95,220,2.07,4.07,0,0,0,0,0,92.44
1,6,660,6.524,220,3.34,5.34,0,0,0,0,0,65.66
1,6,720,6.129,220,5.0,7.0,0,0,0,0,0,45.95
1,6,780,5.794,220,6.93,8.93,0,0,0,0,0,32.7
1,6,840,5.543,220,9.0,11.0,0,0,0,0,0,24.68
1,6,900,5.398,220,11.07,13.07,0,0,0,0,0,20.68
1,6,960,5.369,220,13.0,15.0,0,0,0,0,0,19.94
1,6,1020,5.461,220,14.66,16.66,0,0,0,0,0,22.35
1,6,1080,5.669,220,15.93,17.93,0,0,0,0,0,28.53
1,6,1140,5.982,220,16.73,18.73,0,0,0,0,0,39.78
1,6,1200,6.379,220,17.0,19.0,0,0,0,0,0,57.89
1,6,1260,6.836,220,16.73,18.73,0,0,0,0,0,84.67
1,6,1320,7.322,220,15.93,17.93,0,0,0,0,0,121.12
